Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"LaVine, Zach",SG,60.2,"$8,000",chi,mem,away, 110-102,33:22,   37pt 6rb 4as 3st 1bl 2to 4trey 13-23fg 7-10ft,37,6,4,3,1,2,4,13,23,7,10
"Gilgeous-Alexander, Shai",SG,55.4,"$6,800",okc,was,home, 85-97,36:04,   28pt 7rb 4as 2st 3bl 2to 2trey 10-17fg 6-8ft,28,7,4,2,3,2,2,10,17,6,8
"Doncic, Luka",PG,55,"$10,000",dal,nor,away, 123-116,37:41,   25pt 10rb 10as 2st 3to 3trey 10-19fg 2-2ft,25,10,10,2,0,3,3,10,19,2,2
"Lillard, Damian",PG,54.5,"$9,600",por,sac,away, 122-112,34:02,   35pt 5rb 5as 3st 3to 3trey 12-20fg 8-8ft,35,5,5,3,0,3,3,12,20,8,8
"Wright, Delon",SG,47.9,"$5,400",dal,nor,away, 123-116,31:56,   20pt 7rb 3as 5st 8-12fg 4-4ft,20,7,3,5,0,0,0,8,12,4,4
"Brown, Jaylen",SG,46.8,"$5,500",bos,tor,home, 112-106,38:04,   25pt 9rb 4as 2bl 1to 2trey 11-20fg 1-1ft,25,9,4,0,2,1,2,11,20,1,1
"Lowry, Kyle",PG,46.3,"$7,600",tor,bos,away, 106-112,39:42,   29pt 4rb 7as 1st 1bl 4to 6trey 11-18fg 1-1ft,29,4,7,1,1,4,6,11,18,1,1
"Mitchell, Donovan",SG,45.5,"$8,500",uta,lal,away, 86-95,33:58,   24pt 5rb 3as 3st 1bl 1to 7-15fg 10-10ft,24,5,3,3,1,1,0,7,15,10,10
"Murray, Jamal",PG,42.9,"$7,100",den,pho,home, 108-107,40:37,   27pt 7rb 3as 1st 1bl 3to 2trey 8-19fg 9-11ft,27,7,3,1,1,3,2,8,19,9,11
"Walker, Kemba",PG,42.2,"$8,200",bos,tor,home, 112-106,36:13,   22pt 6rb 2as 2st 2bl 2to 2trey 8-22fg 4-4ft,22,6,2,2,2,2,2,8,22,4,4
"Irving, Kyrie",PG,40.9,"$9,700",bkn,nyk,home, 113-109,31:13,   26pt 2rb 5as 3st 4to 2trey 8-19fg 8-8ft,26,2,5,3,0,4,2,8,19,8,8
"Fox, De'Aaron",PG,39.7,"$8,000",sac,por,home, 112-122,34:07,   28pt 6rb 5as 3to 3trey 7-18fg 11-14ft,28,6,5,0,0,3,3,7,18,11,14
"Barrett, RJ",SG,37.1,"$6,200",nyk,bkn,away, 109-113,35:40,   16pt 3rb 3as 6st 5to 2trey 7-16fg 0-3ft,16,3,3,6,0,5,2,7,16,0,3
"Ball, Lonzo",PG,36.1,"$6,800",nor,dal,home, 116-123,33:13,   15pt 8rb 5as 2st 2to 3trey 6-16fg 0-2ft,15,8,5,2,0,2,3,6,16,0,2
"White, Coby",PG,35.2,"$4,700",chi,mem,away, 110-102,30:19,   25pt 6rb 2as 4trey 10-16fg 1-2ft,25,6,2,0,0,0,4,10,16,1,2
"Booker, Devin",SG,34.5,"$8,800",pho,den,away, 107-108,41:24,   18pt 5rb 7as 1bl 3to 1trey 6-21fg 5-6ft,18,5,7,0,1,3,1,6,21,5,6
"Rubio, Ricky",PG,33.1,"$7,000",pho,den,away, 107-108,35:31,   9pt 8rb 9as 2st 5to 1-7fg 7-7ft,9,8,9,2,0,5,0,1,7,7,7
"Napier, Shabazz",PG,32.7,"$3,500",min,cha,away, 121-99,20:50,   5pt 6rb 9as 1st 2bl 2to 1trey 1-6fg 2-2ft,5,6,9,1,2,2,1,1,6,2,2
"Beal, Bradley",SG,31.7,"$9,500",was,okc,away, 97-85,34:33,   17pt 6rb 3as 1st 1bl 3to 3trey 7-22fg 0-1ft,17,6,3,1,1,3,3,7,22,0,1
"Dinwiddie, Spencer",PG,30.9,"$5,100",bkn,nyk,home, 113-109,26:52,   20pt 2rb 5as 1bl 2to 2trey 5-12fg 8-10ft,20,2,5,0,1,2,2,5,12,8,10
"Holiday, Jrue",SG,30.8,"$8,700",nor,dal,home, 116-123,33:13,   8pt 4rb 8as 2st 2-11fg 4-4ft,8,4,8,2,0,0,0,2,11,4,4
"Hart, Josh",SG,30.8,"$4,400",nor,dal,home, 116-123,26:25,   16pt 9rb 2st 2to 1trey 5-9fg 5-6ft,16,9,0,2,0,2,1,5,9,5,6
"Trier, Allonzo",SG,30.6,"$3,500",nyk,bkn,away, 109-113,23:25,   22pt 3rb 2as 1st 1bl 4to 3trey 6-7fg 7-11ft,22,3,2,1,1,4,3,6,7,7,11
"Satoransky, Tomas",PG,29.6,"$4,300",chi,mem,away, 110-102,21:57,   9pt 3rb 2as 4st 1bl 1to 2-7fg 5-5ft,9,3,2,4,1,1,0,2,7,5,5
"Graham, Devonte'",PG,29.4,"$5,100",cha,min,home, 99-121,27:56,   24pt 2rb 4as 3to 6trey 8-15fg 2-4ft,24,2,4,0,0,3,6,8,15,2,4
"Wiggins, Andrew",SG,28.8,"$6,700",min,cha,away, 121-99,32:40,   16pt 4rb 2as 1st 1bl 1to 6-13fg 4-5ft,16,4,2,1,1,1,0,6,13,4,5
"Bogdanovic, Bogdan",SG,28.7,"$5,000",sac,por,home, 112-122,28:42,   16pt 1rb 3as 3st 2to 4trey 5-11fg 2-3ft,16,1,3,3,0,2,4,5,11,2,3
"Anderson, Kyle",SG,28.5,"$4,700",mem,chi,home, 102-110,20:12,   9pt 5rb 5as 1st 1bl 1trey 4-6fg 0-2ft,9,5,5,1,1,0,1,4,6,0,2
"Dunn, Kris",PG,28.4,"$5,200",chi,mem,away, 110-102,26:03,   6pt 2rb 4as 3st 2bl 1to 3-9fg,6,2,4,3,2,1,0,3,9,0,0
"Rozier, Terry",PG,28.2,"$6,600",cha,min,home, 99-121,17:37,   11pt 1rb 10as 1st 2to 1trey 4-6fg 2-2ft,11,1,10,1,0,2,1,4,6,2,2
"McCollum, C.J.",SG,26.9,"$6,700",por,sac,away, 122-112,33:44,   19pt 2rb 3as 1st 2to 1trey 8-18fg 2-2ft,19,2,3,1,0,2,1,8,18,2,2
"Brunson, Jalen",PG,26.6,"$4,000",dal,nor,away, 123-116,28:45,   14pt 8rb 2as 2trey 6-11fg,14,8,2,0,0,0,2,6,11,0,0
