Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Doncic, Luka",SG,64.7,"$9,300",dal,@ was, 123-132,35:47,   31pt 11rb 7as 4st 2to 2trey 11-26fg 7-9ft
"Booker, Devin",SG,57,"$8,600",pho,v nyk, 107-96,33:56,   41pt 5rb 4as 2st 1bl 5to 6trey 14-23fg 7-7ft
"White, Derrick",PG,54.7,"$6,700",sas,@ atl, 111-104,29:03,   18pt 6rb 9as 6bl 2to 1trey 8-11fg 1-2ft
"LaVine, Zach",SG,52,"$8,000",chi,v phi, 108-107,36:00,   39pt 5rb 4as 1st 2to 2trey 14-26fg 9-13ft
"Simmons, Ben",PG,48.7,"$9,900",phi,@ chi, 107-108,35:04,   18pt 11rb 7as 4st 5to 7-14fg 4-5ft
"Beal, Bradley",SG,48.4,"$10,500",was,v dal, 132-123,37:00,   30pt 7rb 8as 2to 2trey 11-19fg 6-8ft
"Dinwiddie, Spencer",PG,45.3,"$6,300",bkn,v cle, 113-107,30:21,   28pt 4rb 5as 1st 1bl 1to 3trey 10-21fg 5-6ft
"Satoransky, Tomas",PG,43.1,"$5,900",was,v dal, 132-123,41:29,   14pt 8rb 11as 1st 1bl 3to 4-11fg 6-7ft
"Russell, D'Angelo",SG,41.3,"$9,100",bkn,v cle, 113-107,32:16,   25pt 4rb 5as 3st 5to 4trey 9-20fg 3-6ft
"Butler, Jimmy",SG,38.6,"$8,400",phi,@ chi, 107-108,35:58,   22pt 3rb 4as 3st 2to 8-18fg 6-7ft
"Hield, Buddy",SG,38.6,"$8,000",sac,v bos, 109-111,38:19,   23pt 8rb 2as 1st 1bl 3to 4trey 8-19fg 3-3ft
"Young, Trae",PG,36.2,"$8,400",atl,v sas, 104-111,32:17,   22pt 6rb 4as 1st 2to 1trey 8-24fg 5-6ft
"Rondo, Rajon",PG,35.9,"$7,500",lal,v den, 99-115,34:34,   4pt 7rb 11as 2st 1bl 2to 2-7fg
"Smith, Ishmael",PG,34.5,"$4,400",det,v min, 131-114,26:42,   19pt 5rb 5as 1st 1to 1trey 8-10fg 2-2ft
"Mitchell, Donovan",SG,32.9,"$9,100",uta,@ nor, 114-104,32:45,   22pt 7rb 1as 2st 1bl 8to 2trey 10-18fg
"Murray, Jamal",PG,32.6,"$7,000",den,@ lal, 115-99,32:53,   19pt 8rb 4as 2to 3trey 8-20fg
"Dotson, Damyean",SG,32.3,"$4,300",nyk,@ pho, 96-107,33:34,   15pt 9rb 5as 1to 2trey 6-12fg 1-1ft
"Smart, Marcus",SG,32.1,"$5,300",bos,@ sac, 111-109,30:50,   9pt 3rb 5as 5st 3to 1trey 2-6fg 4-4ft
"Rubio, Ricky",PG,31.6,"$7,000",uta,@ nor, 114-104,27:52,   9pt 3rb 10as 2st 2to 3-12fg 3-4ft
"Rozier, Terry",PG,31.2,"$6,500",bos,@ sac, 111-109,31:58,   16pt 6rb 2as 2st 1to 4trey 6-13fg
"Teague, Jeff",PG,30.6,"$6,300",min,@ det, 114-131,30:26,   15pt 3rb 8as 1st 3to 2trey 5-10fg 3-3ft
"Wiggins, Andrew",SG,29.8,"$6,400",min,@ det, 114-131,32:17,   18pt 4rb 2as 1st 1bl 2to 2trey 8-15fg
"Johnson, Tyler",PG,29.8,"$5,400",pho,v nyk, 107-96,29:02,   14pt 4rb 6as 1bl 1to 2trey 5-8fg 2-2ft
"Kennard, Luke",SG,29.1,"$5,300",det,v min, 131-114,29:04,   21pt 3rb 3as 3trey 8-16fg 2-2ft
