Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Irving, Kyrie",PG,73.1,"$9,000",bkn,min,home, 126-127,38:10,   50pt 8rb 7as 1bl 7trey 17-33fg 9-10ft,50,8,7,0,1,0,7,17,33fg,9,10ft
"Mitchell, Donovan",SG,52.9,"$8,400",uta,okc,home, 100-95,36:24,   32pt 12rb 3as 1st 1to 1trey 14-22fg 3-4ft,32,12,3,1,0,1,1,14,22fg,3,4ft
"Doncic, Luka",PG,49.3,"$9,900",dal,was,home, 108-100,33:31,   34pt 9rb 3as 2st 6to 4trey 12-19fg 6-8ft,34,9,3,2,0,6,4,12,19fg,6,8ft
"Lillard, Damian",PG,48.8,"$9,500",por,den,home, 100-108,37:49,   32pt 4rb 8as 1st 3to 3trey 10-21fg 9-10ft,32,4,8,1,0,3,3,10,21fg,9,10ft
"Beal, Bradley",SG,46.7,"$9,800",was,dal,away, 100-108,31:45,   19pt 6rb 9as 3st 2to 1trey 7-25fg 4-6ft,19,6,9,3,0,2,1,7,25fg,4,6ft
"Brogdon, Malcolm",PG,43.1,"$6,500",ind,det,home, 110-119,35:51,   22pt 3rb 11as 1bl 2to 2trey 5-13fg 10-11ft,22,3,11,0,1,2,2,5,13fg,10,11ft
"Simmons, Ben",PG,43.1,"$9,600",phi,bos,home, 107-93,34:59,   24pt 8rb 9as 4to 11-16fg 2-5ft,24,8,9,0,0,4,0,11,16fg,2,5ft
"Rubio, Ricky",PG,42.7,"$6,900",pho,sac,home, 124-95,29:41,   11pt 6rb 11as 4st 4to 4-12fg 3-4ft,11,6,11,4,0,4,0,4,12fg,3,4ft
"Murray, Dejounte",PG,41.6,"$6,400",sas,nyk,home, 120-111,23:47,   18pt 8rb 6as 3st 4to 1trey 7-10fg 3-3ft,18,8,6,3,0,4,1,7,10fg,3,3ft
"Payton, Elfrid",PG,40.4,"$4,900",nyk,sas,away, 111-120,26:03,   11pt 2rb 8as 5st 1trey 4-9fg 2-2ft,11,2,8,5,0,0,1,4,9fg,2,2ft
"Booker, Devin",SG,39.4,"$9,000",pho,sac,home, 124-95,32:18,   22pt 2rb 10as 1st 3to 2trey 10-17fg 0-1ft,22,2,10,1,0,3,2,10,17fg,0,1ft
"Graham, Devonte'",PG,38.8,"$3,500",cha,chi,home, 126-125,27:19,   23pt 4rb 8as 1to 6trey 7-9fg 3-3ft,23,4,8,0,0,1,6,7,9fg,3,3ft
"Paul, Chris",PG,38.1,"$8,200",okc,uta,away, 95-100,30:07,   22pt 8rb 3as 1st 1to 4trey 7-15fg 4-4ft,22,8,3,1,0,1,4,7,15fg,4,4ft
"LaVine, Zach",SG,37.7,"$8,000",chi,cha,away, 125-126,30:00,   16pt 6rb 7as 2st 1bl 5to 1trey 7-17fg 1-1ft,16,6,7,2,1,5,1,7,17fg,1,1ft
"Bacon, Dwayne",SG,36.5,"$3,600",cha,chi,home, 126-125,33:06,   22pt 5rb 3as 2st 2to 2trey 8-21fg 4-6ft,22,5,3,2,0,2,2,8,21fg,4,6ft
"LeVert, Caris",SG,36,"$6,400",bkn,min,home, 126-127,37:18,   20pt 5rb 4as 3st 5to 1trey 9-19fg 1-4ft,20,5,4,3,0,5,1,9,19fg,1,4ft
"Nunn, Kendrick",PG,35.9,"$3,500",mia,mem,home, 120-101,26:31,   24pt 2rb 3as 2st 1to 1trey 10-18fg 3-3ft,24,2,3,2,0,1,1,10,18fg,3,3ft
"Richardson, Josh",SG,34.2,"$6,200",phi,bos,home, 107-93,33:06,   17pt 6rb 2as 1st 2bl 2to 4-12fg 9-9ft,17,6,2,1,2,2,0,4,12fg,9,9ft
"Barrett, RJ",SG,33,"$6,000",nyk,sas,away, 111-120,37:07,   21pt 5rb 2as 2st 3to 1trey 9-13fg 2-4ft,21,5,2,2,0,3,1,9,13fg,2,4ft
"Dragic, Goran",PG,32.1,"$5,800",mia,mem,home, 120-101,25:07,   19pt 3rb 3as 1st 2bl 4to 2trey 4-9fg 9-10ft,19,3,3,1,2,4,2,4,9fg,9,10ft
"Hield, Buddy",SG,32,"$7,000",sac,pho,away, 95-124,31:10,   28pt 5rb 2as 5to 6trey 10-19fg 2-2ft,28,5,2,0,0,5,6,10,19fg,2,2ft
"Gilgeous-Alexander, Shai",PG,31.9,"$6,400",okc,uta,away, 95-100,36:46,   26pt 2rb 1as 1st 1to 3trey 10-23fg 3-6ft,26,2,1,1,0,1,3,10,23fg,3,6ft
"Jones, Tyus",PG,30.7,"$4,100",mem,mia,away, 101-120,24:03,   15pt 1rb 7as 2st 2to 6-12fg 3-5ft,15,1,7,2,0,2,0,6,12fg,3,5ft
"Herro, Tyler",SG,30.1,"$3,600",mia,mem,home, 120-101,33:54,   14pt 8rb 1as 2st 1to 1trey 6-14fg 1-1ft,14,8,1,2,0,1,1,6,14fg,1,1ft
"White, Coby",PG,30.1,"$4,200",chi,cha,away, 125-126,27:09,   17pt 3rb 7as 1to 1trey 6-13fg 4-5ft,17,3,7,0,0,1,1,6,13fg,4,5ft
"Murray, Jamal",PG,30,"$7,100",den,por,away, 108-100,33:47,   14pt 5rb 6as 1st 2to 3trey 4-14fg 3-4ft,14,5,6,1,0,2,3,4,14fg,3,4ft
"Rose, Derrick",SG,29.9,"$4,800",det,ind,away, 119-110,26:35,   18pt 2rb 9as 4to 6-11fg 6-7ft,18,2,9,0,0,4,0,6,11fg,6,7ft
"Wiggins, Andrew",SG,29.6,"$6,500",min,bkn,away, 127-126,36:13,   21pt 8rb 1to 10-27fg 1-2ft,21,8,0,0,0,1,0,10,27fg,1,2ft
"Fournier, Evan",SG,28.6,"$5,700",orl,cle,home, 94-85,28:06,   16pt 3rb 4as 1st 1bl 3to 2trey 7-13fg 0-2ft,16,3,4,1,1,3,2,7,13fg,0,2ft
"Dunn, Kris",PG,28.4,"$5,100",chi,cha,away, 125-126,23:50,   11pt 2rb 2as 4st 5-7fg 1-2ft,11,2,2,4,0,0,0,5,7fg,1,2ft
"Forbes, Bryn",PG,27.5,"$3,500",sas,nyk,home, 120-111,32:31,   20pt 5rb 1as 3trey 7-12fg 3-3ft,20,5,1,0,0,0,3,7,12fg,3,3ft
