Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Curry, Stephen",PG,52.6,"$9,800",gsw,por,home, 114-111,38:34,   37pt 8rb 8as 6to 4trey 11-22fg 11-11ft,37,8,8,0,0,6,4,11,22,11,11
"Lillard, Damian",PG,45,"$9,300",por,gsw,away, 111-114,42:30,   23pt 5rb 10as 1st 2to 5trey 6-16fg 6-7ft,23,5,10,1,0,2,5,6,16,6,7
"McCollum, C.J.",SG,32.1,"$8,400",por,gsw,away, 111-114,38:41,   22pt 3rb 5as 1st 4to 3trey 9-23fg 1-1ft,22,3,5,1,0,4,3,9,23,1,1
"Curry, Seth",PG,31.2,"$3,800",por,gsw,away, 111-114,29:10,   16pt 1rb 2as 4st 1to 4trey 5-9fg 2-2ft,16,1,2,4,0,1,4,5,9,2,2
"Thompson, Klay",SG,28.6,"$7,800",gsw,por,home, 114-111,41:21,   24pt 3rb 2as 2to 4trey 8-22fg 4-4ft,24,3,2,0,0,2,4,8,22,4,4
"Iguodala, Andre",SG,21,"$6,500",gsw,por,home, 114-111,30:49,   4pt 5rb 4as 1st 1bl 1to 2-6fg,4,5,4,1,1,1,0,2,6,0,0
"Livingston, Shaun",PG,11.1,"$3,600",gsw,por,home, 114-111,15:03,   3pt 3rb 3as 1-1fg 1-2ft,3,3,3,0,0,0,0,1,1,1,2
"Cook, Quinn",PG,4.4,"$3,500",gsw,por,home, 114-111,9:39,   2pt 2rb 1-2fg,2,2,0,0,0,0,0,1,2,0,0
"Evans III, Jacob",SG,0,"$3,500",gsw,por,home, 114-111,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Simons, Anfernee",SG,0,"$3,500",por,gsw,away, 111-114,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Lee, Damion",SG,0,"$3,500",gsw,por,home, 114-111,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Trent Jr., Gary",SG,0,"$3,500",por,gsw,away, 111-114,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Green, Draymond",PF,48.5,"$8,600",gsw,por,home, 114-111,33:02,   16pt 10rb 7as 5bl 5to 8-12fg 0-3ft,16,10,7,0,5,5,0,8,12,0,3
"Looney, Kevon",PF,31.4,"$4,600",gsw,por,home, 114-111,29:15,   14pt 7rb 2as 1st 1bl 6-6fg 2-3ft,14,7,2,1,1,0,0,6,6,2,3
"Harkless, Maurice",SF,22.8,"$4,500",por,gsw,away, 111-114,22:59,   12pt 4rb 2as 1st 2trey 4-7fg 2-2ft,12,4,2,1,0,0,2,4,7,2,2
"Aminu, Al-Farouq",PF,16.7,"$4,000",por,gsw,away, 111-114,19:36,   9pt 6rb 1as 1to 1trey 3-8fg 2-2ft,9,6,1,0,0,1,1,3,8,2,2
"Leonard, Meyers",PF,16.2,"$3,500",por,gsw,away, 111-114,16:41,   7pt 6rb 2as 1to 1trey 3-7fg,7,6,2,0,0,1,1,3,7,0,0
"Hood, Rodney",SF,15.9,"$4,900",por,gsw,away, 111-114,21:01,   12pt 2rb 1as 2trey 4-8fg 2-2ft,12,2,1,0,0,0,2,4,8,2,2
"Jerebko, Jonas",PF,14.4,"$3,500",gsw,por,home, 114-111,14:48,   0pt 7rb 2as 1bl 0-3fg,0,7,2,0,1,0,0,0,3,0,0
"Turner, Evan",SF,12,"$4,100",por,gsw,away, 111-114,22:10,   6pt 5rb 2-5fg 2-2ft,6,5,0,0,0,0,0,2,5,2,2
"McKinnie, Alfonzo",SF,3,"$3,500",gsw,por,home, 114-111,8:34,   3pt 1trey 1-1fg,3,0,0,0,0,0,1,1,1,0,0
"Layman, Jake",SF,0,"$3,500",por,gsw,away, 111-114,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Labissiere, Skal",PF,0,"$3,500",por,gsw,away, 111-114,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Derrickson, Marcus",PF,0,"$3,500",gsw,por,home, 114-111,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Durant, Kevin",SF,0,"$11,000",gsw,por,home, 114-111,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Collins, Zach",PF,-2,"$5,000",por,gsw,away, 111-114,8:09,   0pt 2to,0,0,0,0,0,2,0,0,0,0,0
"Bell, Jordan",C,23.1,"$3,600",gsw,por,home, 114-111,13:49,   11pt 3rb 1as 2st 1bl 2to 4-7fg 3-4ft,11,3,1,2,1,2,0,4,7,3,4
"Kanter, Enes",C,14,"$5,300",por,gsw,away, 111-114,19:03,   4pt 5rb 1st 1bl 2to 2-3fg,4,5,0,1,1,2,0,2,3,0,0
"Bogut, Andrew",C,2.7,"$3,500",gsw,por,home, 114-111,3:36,   0pt 1rb 1as,0,1,1,0,0,0,0,0,0,0,0
"Jones, Damian",C,1.2,"$3,500",gsw,por,home, 114-111,1:30,   0pt 1rb,0,1,0,0,0,0,0,0,0,0,0
"Nurkic, Jusuf",C,0,"$3,500",por,gsw,away, 111-114,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Cousins, DeMarcus",C,0,"$3,500",gsw,por,home, 114-111,NA,   ,0,0,0,0,0,0,0,0,0,0,0
